prompt_id,sample_count,raw_clean_variant_count,normalized_variant_count,jyutping_variant_count,raw_clean_hashes,normalized_hashes,jyutping_hashes
c81dfcbeb953523a,1,1,1,1,c58d0d8ddf28e0b0,c58d0d8ddf28e0b0,5081d7ca3e96343c
c94c6f91796b6eb8,1,1,1,1,4e98c9c0d498c949,4e98c9c0d498c949,46b6a5222e2d4d59
cb2ce6503f2d7683,1,1,1,1,95f1f454703403a7,2c132ac943a37081,9b8273bace554cbe
cb8eee5b1d50ce4c,43,1,1,1,1f04532aa2a8448c,1f04532aa2a8448c,9ea4f0eb33164418
cd5606403e0ffe2f,36,1,1,1,cbb2299eaae2828e,cbb2299eaae2828e,7d1899aef84b901d
cee9574dc8cb3c5f,1,1,1,1,aca1885fbc58db5f,aca1885fbc58db5f,3966214ee196e48c
d19e7008092985d8,35,1,1,1,5bbd9b1b08f1c382,5bbd9b1b08f1c382,c3d5c40dec5b38cd
d1e855bcbe53626f,35,1,1,1,2722eec3875a684b,2722eec3875a684b,d2e32e3bb705185d
d3f95038eef313fb,1,1,1,1,08c2f1febd3f95ae,08c2f1febd3f95ae,3709065762e1f501
d4692585e76de449,1,1,1,1,a9c2bc4c19fa9c7c,a9c2bc4c19fa9c7c,5ade4fe153a5a420
d8a5d2f51c36b7a3,1,1,1,1,669ca85b00e8e3b1,669ca85b00e8e3b1,8e7248dd1da0ae97
d943d520a6ed14a8,1,1,1,1,938e7ceff9511db5,938e7ceff9511db5,ddfceb7f0e9c664b
d9783d1e11baf73e,48,1,1,1,15ea4156167e288a,69827760ad999e8d,f6a81f9e77a83183
da9885c2d2227360,40,1,1,1,a4a92562a63ab832,a4a92562a63ab832,dae3c92c9c88667c
dc117573706a8f6b,46,1,1,1,3a411f262cedb56f,3a411f262cedb56f,574fc08ed4bc3b32
e0ae836c81f24ac5,51,1,1,1,be25992fe2f9fc4a,be25992fe2f9fc4a,7830b7d381855a8f
e26759d950c8a807,1,1,1,1,0ea962ab89beaeb5,0ea962ab89beaeb5,6860e4c37f32b77f
e3230a5960eca463,40,1,1,1,7abbb426a60d0362,7abbb426a60d0362,e7b840a852fd1474
e35a44747dd97237,63,1,1,1,fb80367093a319df,fb80367093a319df,0cd6a58505efeb7d
e3bc8a0044382d4a,1,1,1,1,621cd241750969a8,621cd241750969a8,53117b6b1bf16e00
e58f8e12bbfbb499,46,1,1,1,1f34baf31ed3203a,1f34baf31ed3203a,4c866b6276c34bac
ea5cb9779d8be11a,40,1,1,1,382459f28b5173b3,382459f28b5173b3,bbb91da62dbb58bf
ec793b98713e98d8,37,1,1,1,c9af8b8ec7fafcf3,c9af8b8ec7fafcf3,e268725899901abf
ed1a45e12f90ed8e,49,1,1,1,8120ef057595ed4a,8120ef057595ed4a,d4b7f91ae90f6df2
ed33e707a771cb4e,47,1,1,1,9401cacb8815744f,9401cacb8815744f,531bf6b52f7569e6
ee09c51a4b9d01a9,35,1,1,1,7cce2117ba1e9ba1,7cce2117ba1e9ba1,3f28b0ce514a7f1b
eeea4a594e139493,1,1,1,1,7460572e41b0d05f,7460572e41b0d05f,808510b2f247c886
f0e78aa9f368dcbc,35,1,1,1,031eafe10f05bcb3,031eafe10f05bcb3,91d89a9c898bfc4b
f31587f403180dd3,43,1,1,1,ea839f0046c68e7f,ea839f0046c68e7f,daf942be645bc1b0
f4478dc2fc857a0c,1,1,1,1,102c439f719941f5,102c439f719941f5,22ad19ab93e89834
f4e023488aa4c00e,1,1,1,1,7b0976d602d43b88,7b0976d602d43b88,a697f4c68ad318e9
ff96c497b9364552,46,1,1,1,493e34db1f04ceb5,493e34db1f04ceb5,13cfeaf3f17c6092
ffee2301617fab1b,45,1,1,1,dcd27d5fd250af46,dcd27d5fd250af46,a908f7526df3f7b1
